//区域编码	区域名称
00	导控综合馆
0000	导调控制1区
000000	导调控制1组
01	服务器机房
0100	服务器1区
010000	服务器1组
02	A合成营
0200	A营指挥车1组
020000	A营指挥车1号
0201	A营96A坦克一连
020100	A_96A_1_1模拟器
020101	A_96A_1_2模拟器
020102	A_96A_1_3模拟器
020103	A_96A_1_4模拟器
020104	A_96A_1_5模拟器
020105	A_96A_1_6模拟器
020106	A_96A_1_7模拟器
020107	A_96A_1_8模拟器
020108	A_96A_1_9模拟器
020109	A_96A_1_10模拟器
0202	A营96A坦克二连
020200	A_96A_2_1模拟器
020201	A_96A_2_2模拟器
020202	A_96A_2_3模拟器
020203	A_96A_2_4模拟器
020204	A_96A_2_5模拟器
020205	A_96A_2_6模拟器
020206	A_96A_2_7模拟器
020207	A_96A_2_8模拟器
020208	A_96A_2_9模拟器
020209	A_96A_2_10模拟器
0203	A营96A坦克三连
020300	A_96A_2_1模拟器
020301	A_96A_2_2模拟器
020302	A_96A_2_3模拟器
020303	A_96A_2_4模拟器
020304	A_96A_2_5模拟器
020305	A_96A_2_6模拟器
020306	A_96A_2_7模拟器
020307	A_96A_2_8模拟器
020308	A_96A_2_9模拟器
020309	A_96A_2_10模拟器
0204	A营04步战车一连
020400	A_04步_1_1模拟器
020401	A_04步_1_2模拟器
020402	A_04步_1_3模拟器
020403	A_04步_1_4模拟器
020404	A_04步_1_5模拟器
020405	A_04步_1_6模拟器
020406	A_04步_1_7模拟器
020407	A_04步_1_8模拟器
020408	A_04步_1_9模拟器
020409	A_04步_1_10模拟器
0205	A营炮兵区
020500	A_89式122毫米榴弹炮营指挥观察所
020501	A_89式122毫米榴弹炮1连指挥观察所
020502	A_89式122毫米榴弹炮1连模拟器
020503	A_89式122毫米榴弹炮2连指挥观察所
020504	A_89式122毫米榴弹炮2连模拟器
020505	A_89式122毫米榴弹炮3连指挥观察所
020506	A_89式122毫米榴弹炮3连模拟器
0206	A营红缨6区
020600	A_红缨6便携式防空导弹1连模拟器1
020601	A_红缨6便携式防空导弹1连模拟器2
020602	A_红缨6便携式防空导弹1连模拟器3
020603	A_红缨6便携式防空导弹1连模拟器4
0207	A营红箭8区
020700	A营红箭8反坦克导弹发射车1连模拟器1
