//名称	MAC	本机IP	接口机IP	消息总线服务器IP	模拟器编码	节点类型
导调副导演（右）	00E04C97A175	172.20.0.8	172.15.0.14	172.20.1.12	1	2
导调服务器	000C294015C8	172.20.0.2	172.15.0.14	172.20.1.12	1	1
导调兵力设置（前）	4439C458623C	172.20.0.3	172.15.0.14	172.20.1.12	1	1
导调兵力设置（后）	4439C4586772	172.20.0.4	172.15.0.14	172.20.1.12	1	1
导调导演助理（右）	4439C4586254	172.20.0.5	172.15.0.14	172.20.1.12	1	1
导调导演席	4439C4586126	172.20.0.6	172.15.0.14	172.20.1.12	1	1
导调副导演（左）	4439C4586292	172.20.0.7	172.15.0.14	172.20.1.12	1	1
导调导演助理（左）	4439C4586290	172.20.0.9	172.15.0.14	172.20.1.12	1	1
导调指令发布（左）	4439C458628B	172.20.0.10	172.15.0.14	172.20.1.12	1	1
导调指令发布（右）	4439C4586356	172.20.0.11	172.15.0.14	172.20.1.12	1	1
导调战场环境设置（后）	8CDCD442A9D5	172.20.0.12	172.15.0.14	172.20.1.12	1	1
导调二维战场行动态势监控	4439C458622C	172.20.0.13	172.15.0.14	172.20.1.12	1	1
导调空中态势监控	4439C4586224	172.20.0.14	172.15.0.14	172.20.1.12	1	1
导调战场环境设置（前）	8CDCD42171BF	172.20.0.15	172.15.0.14	172.20.1.12	1	1
导调战损监控	4439C4586236	172.20.0.16	172.15.0.14	172.20.1.12	1	1
导调消耗监控	4439C4586376	172.20.0.17	172.15.0.14	172.20.1.12	1	1
导调指挥通信文档传递监控	4439C4586307	172.20.0.18	172.15.0.14	172.20.1.12	1	1
导调指挥通信音频传递监控	4439C458611F	172.20.0.19	172.15.0.14	172.20.1.12	1	1
导调战场电磁态势监控	4439C45861B0	172.20.0.21	172.15.0.14	172.20.1.12	1	1
导调演习文书生成（左）	4439C458622D	172.20.0.22	172.15.0.14	172.20.1.12	1	1
导调演习文书生成（右）	FC4DD431C1B6	172.20.0.23	172.15.0.14	172.20.1.12	1	1
导调战斗行动裁决（后）	4439C45861FE	172.20.0.26	172.15.0.14	172.20.1.12	1	1
导调兵力设置(综合管控5)	4439C4586628	172.20.0.77	172.15.0.14	172.20.1.12	1	1
导调作战能力评估（后）	4439C4586205	172.20.0.27	172.15.0.14	172.20.1.12	1	1
导调兵力设置(综合管控6)	8CDCD442A9CA	172.20.0.29	172.15.0.14	172.20.1.12	1	1
导调战斗行动裁决（前）	4439C4586423	172.20.0.30	172.15.0.14	172.20.1.12	1	1
导调作战能力评估（前）	4439C458623B	172.20.0.31	172.15.0.14	172.20.1.12	1	1
通信网络仿真B营	00E04C979F33	172.20.0.44	172.15.0.14	172.20.1.12	1	1
通信网络仿真A营	00E04C979FA2	172.20.0.45	172.15.0.14	172.20.1.12	1	1
视景服务器1	9CB654F30C19	172.20.1.2	172.15.0.20	172.20.1.12	2	2
视景服务器2	9CB654EA5256	172.20.1.3	172.15.0.20	172.20.1.12	2	1
视景服务器3	9CB654EA5628	172.20.1.4	172.15.0.20	172.20.1.12	2	1
视景服务器4	9CB654F30C76	172.20.1.5	172.15.0.20	172.20.1.12	2	1
视景服务器5	9CB654EA526F	172.20.1.6	172.15.0.20	172.20.1.12	2	1
视景服务器6	9CB654EA5241	172.20.1.7	172.15.0.20	172.20.1.12	2	1
视景服务器7	9CB654F30C55	172.20.1.8	172.15.0.20	172.20.1.12	2	1
视景服务器8	9CB654EA5264	172.20.1.9	172.15.0.20	172.20.1.12	2	1
视景服务器9	9CB654F30C84	172.20.1.10	172.15.0.20	172.20.1.12	2	1
视景服务器10	9CB654EA5239	172.20.1.21	172.15.0.20	172.20.1.12	2	1
视景服务器11	9CB654EA59F9	172.20.1.22	172.15.0.20	172.20.1.12	2	1
视景服务器12	9CB654EA59EC	172.20.1.23	172.15.0.20	172.20.1.12	2	1
视景服务器13	9CB654F30E51	172.20.1.24	172.15.0.20	172.20.1.12	2	1
视景服务器14	9CB654EA59B9	172.20.1.25	172.15.0.20	172.20.1.12	2	1
三维视景监控1	A0D3C13FD615	172.20.1.15	172.15.0.20	172.20.1.12	2	1
三维视景监控2	9CB654EA59FC	172.20.1.16	172.15.0.20	172.20.1.12	2	1
